text,label
@MiataMuc Nein. Aber was hat schwul sein mit einem verminderten Wohlergehen zu tun?,0
"@Achim7871 Die Eliten wollen Deutschland ausrotten , kapieren zu wenig . |LBR| Genau traurige Wahrheit. Ausrottung ohne kaum Widerstand!",1
"@Kahuna456 @Lotus88118558 @Jala_varietas Ich glaube er hat auch noch nicht mitbekommen, dass Frauen ansprechen mittlerweile als sexuelle Belästigung gilt ☺",0
"Deutschland wird zurückkommen ,stärker und härter als je zu vor!!!",0
@ThiloAdamitz Biste wieder bereit und willig 😀,0
@Meyermit_ey @maurice_breuer Untere Einkommen werden durch die Abschaffung des Solis nicht entlastet. Die Entlastung erfolgt durch andere Dinge bzw. durch die Beispiele von 2 Kindern (Kindergeld). /TN,0
@ThiloAdamitz @MiataMuc Das ist nicht der @MiataMuc 😁,0
@mountainman1977 @MiataMuc @MartinDomig Süßer Senf ja. Aber dazu normale Brötchen oder Mischbrot. Multikulturell sozusagen 😁,0
"@anna_IIna Wahnsinn. Und die Deutschen halten still,bis auf ganz wenige.",0
Herr Friedman und Konsorten. Es wird der Tag der Rache der freien Völker kommen.,1
@AfDBerlin @balleryna |LBR| Das ist der Anfang des Bürgerkrieges.,0
"Liebe Freunde und Kameraden, lasst uns endlich miteinander vernetzen!Nur gemeinsam sind wir stark!",0
@Hruotland2017 @Matthias_Kamann Dennoch legt er das biblische Zeugnis auf dem Stand der Exegese aus. /fxn,0
"Der Abschaum regiert,die Ostküste jubelt.",1
"@JoeHellBack @ThomasMichael71 @alexa_jung60 @Tschonka @Gwen_Ny_ @dasstimmvieh @Mohrenpost Wo ist dann Dein Problem damit, wenn jemand den Islam ablehnt?",1
"Die Zersetzung,die Vernichtung der Kultur,der Abschaum,hat immer nur einen Ursprung!",1
"@k_waus Nur ganz kurz: ""Rechtsradikal"" muss man sich (Meinungsfreiheit) sogar als Grüner bieten lassen. Neonazi nicht, es sei denn es bestehen ""Anknüpfungspunkte"" für diese These aufgrund von vorangehenden Äußerungen von ihnen, die diese Zuordnung vertretbar erscheinen lassen.",0
"@KonseqLiberal @MiataMuc Es gibt einen Unterschied zwischen geil sein, und dies auszuleben. |LBR| Mehr wollte ich nicht sagen.",0
"@rspctfl @Innenwelttramp @ergroovt @ThomasMichael71 @houelle_beck @ksemann2 @DrKassandraPari 1. Es gibt keinerlei Beweis dafür, dass Gott existiert. |LBR| 2. Wäre gut, wenn Du mal Koran und Hadithe lesen würdest.",0
"@oadiakosmos @Schockadin @3rd_stone_f_sun @Schnubb36 @Fjordspringer @gselsbaer @transsimian @AlfredAndPaul @TomBell46959788 @KosmosOadia @druzim @DasEbenbild @_Apuleius @karlrahner_sj @veronikusz @LadyLeliana @VJanusch @HELMA__D @ifw_recht @gbs_org Vielleicht wird es fassbarer wenn du es das ""alte Testament ignorierende, neutestamentliche Christentum abzüglich der Dinge die mir nicht gefallen plus diverser Hinzufügungen und neuer Interpretationen"" nennst.",0
"@MiataMuc Wenn nicht, mich einfach in Ruhe lassen bis etwa um 12 Uhr.",0
Freie Deutsche schreiben an: wolfganghetzler1964@googlemail.com,0
@XYEinzelfall |LBR| Das wird knapp für Hofer.,0
#sträters #Männerhaushalt gähnend langweilige Billigproduktion nein danke #one,0
"Kinder schänden und das Volk verraten, das ist die Ideologie der Sozis und ihrer grünen Helfer!",1
Und was bekommt ein Asylant der Deutsche umzubringen versucht?,1
"@Neodeutscher @KonseqLiberal Das ist Deine Logik. Du willst schließlich nicht zu den Tschechen wegen etwas, was deren Vorfahren getan haben.",0
"@tagesthemen @tagesschau Gibt es da ein Patent, von dem wir nichts wussten? ;-) /jcm",0
@anna_IIna @Schulle99 Meine Lieblingskoalition wäre eine von diesen-AFD NPD REP DIe RECHTE.,0
"Egal welche Partei,egal welche Ideen.Meldet euch und wir bauen ein neues Deutschland!",0
"@wolfibey @SawsanChebli Ja, furchtbar. Das nächste Mal sollte man sie ""alt und hässlich"" nennen...",1
"@tagesschau Sehr gut! Gut f d Menschen, f Klima, Artenvielfalt. + ich freu mich immer mein #Bio Siegel so prominent zu sehen. + gut f d #Bauernfamilien",0
@musevg Selbstverständlich ist die CSU das nicht (mehr) (durchgehend) - lesen Sie mal meine Tweets dazu! - und kann sich insofern eine Scheibe bei der SPD abschneiden.,0
Deutsche wacht auf! |LBR| Für die Freiheit stehen wir!,0
"@anna_IIna @Nobby1949Z Mannheim, Multikulti versiffte Stadt. Klein Istambul und Rumänen/ Bulgaren ☠🖕",1
@BVG_Tram Wir haben Ende der Woche.,0
@MartinSchulz Weltoffenheit ist im Auswärtigen Amt ein Fremdwort! Deutsche Botschaft in Manila strotzt vor Menschenverachtung!,1
@mountainman1977 Ich kann mit Schlampen umgehen 😃,1
"@_StultaMundi @xxgiana @markrudolph2701 Magst Du mal den Grad der ""Belästigung"" schildern?",0
@mollemopp Genau. Die Froschfresser haben nichts gelernt! Ihr Untergang ist selbstverschuldet.,1
"@rspctfl @Kischeph @Volker_Beck Mich interessiert's weil ich es gut finde, dass es inmitten islamischen Barbarei wenigstens eine Demokratie gibt, in der ich Schwänze lutschen kann ohne ins Gefängnis zu kommen.",1
@NDRrecherche was wird nun aus der kostenlosen KITA in der Niedersachsen GROKO ?,0
"Nun werfe er Ärzten vor,abgelehnten Asylbewerbern zu leichtfertig Atteste auszustellen u. so diese vor Abschiebung zu bewahren. #DeMaiziere",0
"@MiataMuc @KonseqLiberal @Neodeutscher Ich habe immer gesagt, dass ich aus der Mark Brandenburg stamme.",0
"@MeliDeluxe Ich spritz gleich ab ,so geil machst du mich 😜",1
diese scheiß #Islamisten #Gejaule will doch kein Mensch hören @aktuelleStunde #WDR,1
ekelhaft Claudia Roth wieder im Fernsehen sehen zu müssen #Bundestag,1
"Deutschland, Deutschland über alles, |LBR| Über alles in der Welt, |LBR| Wenn es stets zu Schutz und Trutze |LBR| Brüderlich zusammenhält, |LBR| Von der Maas bis an die Memel, |LBR| Von der Etsch bis an den Belt - |LBR| Deutschland, Deutschland über alles, |LBR| Über alles in der Welt!",0
@faz_donalphonso Wo ist der Zusammenhang zum Artikel?,0
Übrigens: Man kann Meinungsfreiheit nicht missbrauchen. |LBR| #Servicetweet,0
"@gselsbaer @oadiakosmos @Fjordspringer @AlfredAndPaul @3rd_stone_f_sun @transsimian @TomBell46959788 @Schnubb36 @KosmosOadia @druzim @DasEbenbild @_Apuleius @karlrahner_sj @veronikusz @LadyLeliana @VJanusch @HELMA__D @ifw_recht @gbs_org Mir ist jetzt nicht ganz klar, ob er an die Geschichten in der Bibel glaubt, scheinbar nicht, denn die Evolution erkennt er ja an. Das man an einen ""Gott"" glaubt ist nachvollziehbar, aber die Geschichten in der Bibel sind eben in höchstem Maße unglaubwürdig und unplausibel.",0
"@BVG_Tram |LBR| Ich hoffe, dass die M10 ab morgen dann mit F8Z fährt. |LBR| Ich werde das kontrollieren ☺",0
"Ist es nicht grotesk, dass mittlerweile sogar die CSU so wenig Reibungspunkte mit den Grünen hat, dass es nicht sie gewesen sind, die die Gespräche abbrachen?",0
@Vergwohlrumpler leider .....wobei Linksgrüne selten was nützliches studieren.... ehr Philosophie und Kunstgeschichte,0
"Geht ein #AfD-Anhänger zum Arzt und sagt: Herr Doktor, ich habe seit geraumer Zeit ganz viel Bauchschmerzen. Antwortet der Arzt: Entlasten Sie Ihren Bauch und fangen Sie an zu denken. #NoAfD",0
@DonBarbone @hannes_elefant @ChSascha Welches Menschenrecht wird denn durch eine Aussage verletzt?,0
"@DrPhiloponus wenn du Arsch geficktes Elitäre schwein ,den Mut und Eier hättest,dann sag wirklich wie du heisst !!!! Oh Entschuldigung !",1
@FreierWaehler @balleryna |LBR| So ein Schwein sitzt noch da oben? Pfui Teufel!,1
"@Renner_AfD @AfD @Alice_Weidel @Joerg_Meuthen @AlternativeNRW @NRW_JA @TrauDichDE @2017_AfDwaehlen @Grueneversenken @Mundaufmachen Ich wähle AFD, weil die mich noch nicht beschissen haben. Die anderen Parteien hingegen schon, insbesondere das Pack aus der GroKo !!!",1
"Vom 17.10. bis zum 20.10. bin ich auf unserem Regionaltreffen Nord im Karmel in Berlin. Ich freue mich auf Dialog, neue Impulse...",0
@HollsteinM @MatthiasBannas @MonikaHerrmann1 @SZ Auch nicht zu ignorieren: 90% der antisemitischen Straftaten in Deutschland haben einen rechtsextremen Hintergrund.,0
"@Timon_Gremmels Ein wirklicher Eklat ist, dass sich das ach so soziale Pack der SPD im Auswärtigen Amt menschenverachtend verhält und willkürlich handelt!",1
@JuliaKloeckner ist eine Körperverletzung! Sorry diese Frau ist einfach Dumm!,1
"@SteffenKuhne @welt Indem er Begriffe wie kulturelle Sicherheit verwendet, breitet er quasi den Roten Teppich für die Identitären aus. Viele, die zuvor die SPD und dann plötzlich die AfD gewählt haben, haben das mit Sicherheit nicht aufgrund der fehlenden kulturellen Sicherheit getan.",0
@Mama_arbeitet @annika_schach @herr_unbekannnt Können Sie die Frage beantworten? Warum sind 30 Prozent Frauen im Bundestag problematisch?,0
"@info2099 @Joemino Ich weiß. Aber NPD schafft es nie. Andere reche Minderheit ers recht nicht, das System umzukrempeln.",0
"@tagesspiegel Der Gysi den mochten auch viele, die mit der ""Linken"" nichts anfangen konnten.",0
in meinen Augen ist Andrea #Nahles strunzdumm und hat einen riesen Nagel in der Kappe nur sie merkt es nicht #SPD,1
Die Okkupanten wollen den deutschen und damit den europäischen Geist vernichten.,1
"@spdde @christa_scheuer @MartinSchulz Trink dir Einen, oder 2",0
"@rspctfl @Volker_Beck Wozu auch? Er hat nichts gemacht. Es sind Anhänger der Religion des Friedens, die sich mal wieder daneben benehmen.",0
"Den Kuchen essen und gleichzeitig behalten - den Spruch verstehe ich bis heute nicht. Wenn man den Kuchen isst, behält man ihn doch für sich.",0
"@Rumsucher Ich finde Claudia #Roth auch ekelhaft, und ich gehe noch viel weiter. Man sollte sie rückstandslos #entsorgen.",1
Wisst Ihr wieviel Menschen bislang an #Glyphosat gestorben sind? Obwohl wir es seit Jahrzehnten über die Nahrungskette aufnehmen? |LBR| Genau! Null!,0
"Der Begriff ""Demokratie"" verkommt immer mehr zu einer Propaganda-Floskel für eine bestimmte links-grüne Ideologie.",0
"@migrate89 @c_lindner Hmh. Und ich dachte, es wäre die SPD gewesen, die schonmal den Familiennachzug ausgesetzt hat 🤔 Achte aber gerne im März 2018 darauf, ob ich mich geirrt habe.",0
@Libelle2000R @mundaufmachen @Volker_Beck @amnesty @amnesty_de NATÜRLICH NUR FÜR BOLSCHEWISTEN UND SCHWULE!,1
Auch heute darf Schwerverbrecher Uli #Hoeneß im Spiel gegen #FC #Bayern natürlich nicht fehlen #ARD,1
"Dieses Volk,das seit Jahrzehnten die Palästinenser unterdrückt, foltert und ermordet und die Welt terrorisiert,jammert jetzt.",0
@redpillberlin @DerDoktorant @GegutGeschlecht Mädels. Kein Grund für Streit.,0
Nicht ist erotischer als eine elektrische Zahnbürste #Tatort,0
warum lädt man eine derart strunzdumme Frau #Demirkan bei #Maischberger ein #ARD,1
"@TheoDora58x - Das Reich Gottes mitten unter uns - eine Verheißung Schrifttext Jes 11, 1-9 |LBR| - Habt Mut, fürchtet euch nicht Schrifttext Jes 35, 3-10 Die Verheißung des messianischen Heils |LBR| - Mache dich auf und werde Licht Schrifttext Jes 60,1-4,62,5 Auf, werde Licht",0
Dieses mobile Stoffgefängnis für Frauen gehört weder zu unserer Werte- noch zu unserer demokratischen Gesellschaft.,0
"@sahneschoko Wegen wem genau müssen Jüdische Schulen mit Soldaten beschützt werden, normal Polizei reicht nicht mehr? Naaa?",1
"@Helheimer @MiataMuc Nee, das war ne Umkleidekabine.",0
"Das Privileg der Frauen zeigt sich bereits an ihrer Kleidung. Während männlichen Kleidung auf Effizienz und bestmögliche Ausnutzung der Arbeitskraft ausgelegt wird, leisten sich Frauen extravagante Maskeraden. |LBR| Ich suche dazu noch mal das Zitat von Vilar raus ☺",1
"@hugresch @saltomentale Es ist dennoch legitimer auf Leistungen stolz zu sein, zu denen man selbst etwas beigetragen hat als sich mit fremden Federn zu schmücken. Das macht der Patriotismus.",0
Die größten Volksverräter sind Sozialdemokraten!,1
@MiataMuc und @onyx0815 korrespondieren miteinander. |LBR| Mich hat sie geblockt 😁,0
@krippmarie |LBR| Und woanders fehlts überall an Polizei. Ordnung und Sicherheit,0
Erst twittert Bettina Kudla ihre Kritik an der Asylpolitik Merkels mit d NS-Begriff „Umvolkung“ Jetzt fordert H. Winkler Kolationen mit AfD,1
@stefanolix Wie wäre es mit Meinungsfreiheit?,0
"@LilaLapras @usrgreg @Andre290573 @APosener Ach so ja, gegen Scientology zu sein ist dann also auch Rassismus...",0
"@maybritillner @KuehniKev Die Jusos profilieren sich auf kosten der SPD und auf das unseres Landes, und das finde ich mehr als schäbig!",0
"@ericcartmensmum Ich habe nichts gegen hart und stark und selbstbewusste Erziehung. Ich finde allerdings, dass Mädchen das auch gut tun würde.",0
